Sample;PCR_Subspecies;SKA_Subspecies;Species;Sex;Location;Control;visual_genus;visual_species;lat;long;Municipality;Original_name
MEMO143;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;male;VP;No;Culex;pipiens pipiens;50.585.083;5.259.636;Villers-Le-Bouillet;M19M0448
MEMO144;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;male;VP;No;Culex;pipiens pipiens;50.585.083;5.259.636;Villers-Le-Bouillet;M19M0449
MEMO145;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;male;VP;No;Culex;pipiens pipiens;50.585.083;5.259.636;Villers-Le-Bouillet;M19M0450
MEMO146;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;male;EU;No;Culex;pipiens pipiens;50.632.556;6.073.283;Eupen;M19G0083
MEMO147;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;VP;No;Culex;pipiens molestus;50.585.083;5.259.636;Villers-Le-Bouillet;M19M0482
MEMO148;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;VP;No;Culex;pipiens molestus;50.585.083;5.259.636;Villers-Le-Bouillet;M19M0483
MEMO149;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;VP;No;Culex;pipiens molestus;50.585.083;5.259.636;Villers-Le-Bouillet;M19M0484
NEMO01;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Botanic garden;No;Culex;pipiens pipiens;508.778.918;46.912.021;Leuven;NEMO01
NEMO02;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Botanic garden;No;Culex;pipiens pipiens;508.778.918;46.912.021;Leuven;NEMO02
NEMO03;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Botanic garden;No;Culex;pipiens pipiens;508.778.918;46.912.021;Leuven;NEMO03
NEMO04;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Botanic garden;No;Culex;pipiens pipiens;508.778.918;46.912.021;Leuven;NEMO04
NEMO05;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Botanic garden;No;Culex;pipiens pipiens;508.778.918;46.912.021;Leuven;NEMO05
NEMO06;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Botanic garden;No;Culex;pipiens pipiens;508.778.918;46.912.021;Leuven;NEMO06
NEMO07;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Botanic garden;No;Culex;pipiens pipiens;508.778.918;46.912.021;Leuven;NEMO07
NEMO08;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Botanic garden;No;Culex;pipiens pipiens;508.778.918;46.912.021;Leuven;NEMO08
NEMO09;Culex torrentium;Culex torrentium;Culex torrentium;female;Botanic garden;No;Culex;torrentium;508.778.918;46.912.021;Leuven;NEMO09
NEMO10;Culex torrentium;Culex torrentium;Culex torrentium;female;Botanic garden;No;Culex;torrentium;508.778.918;46.912.021;Leuven;NEMO10
NEMO11;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Botanic garden;No;Culex;pipiens pipiens;508.778.918;46.912.021;Leuven;NEMO11
NEMO12;Culex torrentium;Culex torrentium;Culex torrentium;female;Botanic garden;No;Culex;torrentium;508.778.918;46.912.021;Leuven;NEMO12
NEMO13;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Botanic garden;No;Culex;pipiens pipiens;508.778.918;46.912.021;Leuven;NEMO13
NEMO14;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Botanic garden;No;Culex;pipiens pipiens;508.778.918;46.912.021;Leuven;NEMO14
NEMO15;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Botanic garden;No;Culex;pipiens pipiens;508.778.918;46.912.021;Leuven;NEMO15
NEMO16;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Botanic garden;No;Culex;pipiens pipiens;508.778.918;46.912.021;Leuven;NEMO16
NEMO17;Culex torrentium;Culex torrentium;Culex torrentium;female;Botanic garden;No;Culex;torrentium;508.778.918;46.912.021;Leuven;NEMO17
NEMO18;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Botanic garden;No;Culex;pipiens pipiens;508.778.918;46.912.021;Leuven;NEMO18
NEMO19;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Botanic garden;No;Culex;pipiens pipiens;508.778.918;46.912.021;Leuven;NEMO19
