file	sample	format	type	num_seqs	sum_len	min_len	avg_len	max_len
NEMO42/READ/TRIMMED/NEMO42.Hostout.unpaired.fastq.gz	NEMO42	FASTQ	DNA	141177	13489920	50	95.6	130
NEMO43/READ/TRIMMED/NEMO43.Hostout.R1.fastq.gz	NEMO43	FASTQ	DNA	395170	41993232	50	106.3	130
NEMO43/READ/TRIMMED/NEMO43.Hostout.R2.fastq.gz	NEMO43	FASTQ	DNA	395170	41950292	50	106.2	130
NEMO43/READ/TRIMMED/NEMO43.Hostout.unpaired.fastq.gz	NEMO43	FASTQ	DNA	93216	9105323	50	97.7	130
NEMO44/READ/TRIMMED/NEMO44.Hostout.R1.fastq.gz	NEMO44	FASTQ	DNA	729050	73132788	50	100.3	130
NEMO44/READ/TRIMMED/NEMO44.Hostout.R2.fastq.gz	NEMO44	FASTQ	DNA	729050	73039210	50	100.2	130
NEMO44/READ/TRIMMED/NEMO44.Hostout.unpaired.fastq.gz	NEMO44	FASTQ	DNA	193522	17937748	50	92.7	130
NEMO45/READ/TRIMMED/NEMO45.Hostout.R1.fastq.gz	NEMO45	FASTQ	DNA	324704	37738060	50	116.2	130
NEMO45/READ/TRIMMED/NEMO45.Hostout.R2.fastq.gz	NEMO45	FASTQ	DNA	324704	37680970	50	116.0	130
NEMO45/READ/TRIMMED/NEMO45.Hostout.unpaired.fastq.gz	NEMO45	FASTQ	DNA	81662	8641344	50	105.8	130
NEMO46/READ/TRIMMED/NEMO46.Hostout.R1.fastq.gz	NEMO46	FASTQ	DNA	856057	96420755	50	112.6	130
NEMO46/READ/TRIMMED/NEMO46.Hostout.R2.fastq.gz	NEMO46	FASTQ	DNA	856057	96217702	50	112.4	130
NEMO46/READ/TRIMMED/NEMO46.Hostout.unpaired.fastq.gz	NEMO46	FASTQ	DNA	230477	24014413	50	104.2	130
NEMO47/READ/TRIMMED/NEMO47.Hostout.R1.fastq.gz	NEMO47	FASTQ	DNA	340262	37126004	50	109.1	130
NEMO47/READ/TRIMMED/NEMO47.Hostout.R2.fastq.gz	NEMO47	FASTQ	DNA	340262	37074306	50	109.0	130
NEMO47/READ/TRIMMED/NEMO47.Hostout.unpaired.fastq.gz	NEMO47	FASTQ	DNA	91498	9276720	50	101.4	130
NEMO48/READ/TRIMMED/NEMO48.Hostout.R1.fastq.gz	NEMO48	FASTQ	DNA	621996	65260250	50	104.9	130
NEMO48/READ/TRIMMED/NEMO48.Hostout.R2.fastq.gz	NEMO48	FASTQ	DNA	621996	65166539	50	104.8	130
NEMO48/READ/TRIMMED/NEMO48.Hostout.unpaired.fastq.gz	NEMO48	FASTQ	DNA	173289	16919466	50	97.6	130
NEMO49/READ/TRIMMED/NEMO49.Hostout.R1.fastq.gz	NEMO49	FASTQ	DNA	467093	47442659	50	101.6	130
NEMO49/READ/TRIMMED/NEMO49.Hostout.R2.fastq.gz	NEMO49	FASTQ	DNA	467093	47381162	50	101.4	130
NEMO49/READ/TRIMMED/NEMO49.Hostout.unpaired.fastq.gz	NEMO49	FASTQ	DNA	142767	13524459	50	94.7	130
NEMO50/READ/TRIMMED/NEMO50.Hostout.R1.fastq.gz	NEMO50	FASTQ	DNA	372797	40811718	50	109.5	130
NEMO50/READ/TRIMMED/NEMO50.Hostout.R2.fastq.gz	NEMO50	FASTQ	DNA	372797	40724005	50	109.2	130
NEMO50/READ/TRIMMED/NEMO50.Hostout.unpaired.fastq.gz	NEMO50	FASTQ	DNA	108044	10936781	50	101.2	130
NEMO51/READ/TRIMMED/NEMO51.Hostout.R1.fastq.gz	NEMO51	FASTQ	DNA	490146	54802729	50	111.8	130
NEMO51/READ/TRIMMED/NEMO51.Hostout.R2.fastq.gz	NEMO51	FASTQ	DNA	490146	54707411	50	111.6	130
NEMO51/READ/TRIMMED/NEMO51.Hostout.unpaired.fastq.gz	NEMO51	FASTQ	DNA	139484	14343049	50	102.8	130
NEMO52/READ/TRIMMED/NEMO52.Hostout.R1.fastq.gz	NEMO52	FASTQ	DNA	509114	56991814	50	111.9	130
NEMO52/READ/TRIMMED/NEMO52.Hostout.R2.fastq.gz	NEMO52	FASTQ	DNA	509114	56928049	50	111.8	130
NEMO52/READ/TRIMMED/NEMO52.Hostout.unpaired.fastq.gz	NEMO52	FASTQ	DNA	142122	14621657	50	102.9	130
NEMO53/READ/TRIMMED/NEMO53.Hostout.R1.fastq.gz	NEMO53	FASTQ	DNA	896969	98887405	50	110.2	130
NEMO53/READ/TRIMMED/NEMO53.Hostout.R2.fastq.gz	NEMO53	FASTQ	DNA	896969	98729911	50	110.1	130
NEMO53/READ/TRIMMED/NEMO53.Hostout.unpaired.fastq.gz	NEMO53	FASTQ	DNA	226476	23204283	50	102.5	130
NEMO54/READ/TRIMMED/NEMO54.Hostout.R1.fastq.gz	NEMO54	FASTQ	DNA	1152399	129444189	50	112.3	130
NEMO54/READ/TRIMMED/NEMO54.Hostout.R2.fastq.gz	NEMO54	FASTQ	DNA	1152399	129154601	50	112.1	130
NEMO54/READ/TRIMMED/NEMO54.Hostout.unpaired.fastq.gz	NEMO54	FASTQ	DNA	335633	35172994	50	104.8	130
